lokasi,bulan,tanggal,account,kode_unit,id_unit,nama_unit,jenis_unit,kategori,kegiatan,remark,jumlah_jam
BUHUT,Aug,2026-08-15,641106231203532 075,312-035,312035,DUMP TRUCK HINO FM 280 JD 312-035,DT FM 260 JD,AB,WS-PERBAIKAN UNIT,312-035   SERVICE BERKALA,2.0
BUHUT,Aug,2026-08-15,641106233203832 035,332-038,332038,EXCAVATOR HITACHI ZX 210 F-5G 332-038,Excavator Breaker 20 Ton,AB,WS-PERBAIKAN UNIT,332-038   ADJUST MAIN VALVE,1.5
BUHUT,Aug,2026-08-16,641106233205531 035,332-055,332055,EXCAVATOR HITACHI ZX350H-5G 332-055,Excavator Breaker 30 Ton,AB,WS-PERBAIKAN DAN MAINTENANCE UNIT,332-055   GREASING,2.0
BUHUT,Aug,2026-08-16,641106233205231 035,332-052,332052,EXCAVATOR HITACHI ZX 210G-5G 332-052,Excavator Breaker 20 Ton,AB,WS-PERBAIKAN DAN MAINTENANCE UNIT,332-052   GREASING,2.0
BUHUT,Aug,2026-08-16,641106233203831 035,332-038,332038,EXCAVATOR HITACHI ZX 210 F-5G 332-038,Excavator Breaker 20 Ton,AB,WS-PERBAIKAN DAN MAINTENANCE UNIT,332-038   GREASING,2.0
BUHUT,Aug,2026-08-16,641106233204531 035,332-045,332045,EXCAVATOR HITACHI ZX 210 F-5G 332-045,Excavator Breaker 20 Ton,AB,WS-PERBAIKAN DAN MAINTENANCE UNIT,332-045   GREASING,2.0
BUHUT,Aug,2026-08-16,641106233205532 035,332-055,332055,EXCAVATOR HITACHI ZX350H-5G 332-055,Excavator Breaker 30 Ton,AB,WS-PERBAIKAN UNIT,"332-055   GANTI PEDAL,CEK FUSE",2.0
BUHUT,Aug,2026-08-16,641106233205231 035,332-052,332052,EXCAVATOR HITACHI ZX 210G-5G 332-052,Excavator Breaker 20 Ton,AB,WS-PERBAIKAN UNIT,"332-052   CEK NITRO,CEK PEDAL",2.0
BUHUT,Aug,2026-08-18,641106233204532 035,332-045,332045,EXCAVATOR HITACHI ZX 210 F-5G 332-045,Excavator Breaker 20 Ton,AB,WS-PERBAIKAN UNIT,332-045   KENCANGKAN THROUGHT BOLT,4.0
BUHUT,Aug,2026-08-18,641106236200232 035,362-002,362002,WHEEL LOADER XCMG ZL50GN 362-002,Wheel Loader,AB,WS-PERBAIKAN UNIT,362-002   JEMPER AKI,3.0
